maximus0/docker;docs/sources/examples/mongodb/Dockerfile
thockin/contrib;scale-demo/aggregator/Dockerfile
Tete1805/recipes;node_modules/nodemon/Dockerfile
leifurhauks/grpc;templates/tools/dockerfile/interoptest/grpc_interop_go/Dockerfile.template
quaintcow/docker;contrib/builder/rpm/oraclelinux-6/Dockerfile
slaws/kubernetes;test/images/mount-tester-user/Dockerfile
vincent99/cattle;Dockerfile
vpetev/practica9;node_modules/sequelize/Dockerfile
yuzhu/kubernetes;contrib/for-tests/entrypoint-tester/Dockerfile
BioDocker/sandbox;bamutils/1.0.13/Dockerfile
craigmunro/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/multiple-volumes/Dockerfile
devmeyster/docker;contrib/builder/rpm/fedora-22/Dockerfile
eparis/kubernetes;test/images/volumes-tester/gluster/Dockerfile
kerneltime/docker;builder/dockerfile/parser/testfiles/multiple-volumes/Dockerfile
mredar/md5s3stash;Dockerfile
qianzhangxa/swarm;docs/Dockerfile
vmware/kubernetes;docs/user-guide/horizontal-pod-autoscaling/image/Dockerfile
Juniper/kubernetes;examples/cluster-dns/images/frontend/Dockerfile
akshaykarle/docker;contrib/builder/deb/ubuntu-debootstrap-wily/Dockerfile
andrewpollock/grpc;tools/dockerfile/distribtest/python_ubuntu1604_x64/Dockerfile
brahmaroutu/docker;builder/dockerfile/parser/testfiles/escape-nonewline/Dockerfile
lichia/docker-kafka;kafkaproxy/Dockerfile
lordzero0000/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
rawlingsj/gofabric8;vendor/github.com/openshift/origin/examples/deployment/Dockerfile
aaronlevy/kubernetes;cluster/images/kubelet/Dockerfile
ceylon-docker/ceylon;1.3.0/1.3.0-jre8-redhat/Dockerfile
hg8496/piwigo-docker;Dockerfile
jmccarty3/kubernetes;build/pause/Dockerfile
lordrasmus/libcwebui;Docker/Dockerfile
mottosso/maya2016sp1;Dockerfile
bgrant0607/kubernetes;examples/k8petstore/web-server/Dockerfile
eformat/microservices;swarm/docker/mysql/Dockerfile
arokiadianagene/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
maxamillion/kubernetes;examples/k8petstore/redis/Dockerfile
mjamesruggiero/swanson;Dockerfile
swarup-donepudi/docker;contrib/builder/deb/debian-wheezy/Dockerfile
OpenGrape/docker-alpine;versions/library-2.6/Dockerfile
alexhersh/calico-docker;calicoctl/Dockerfile
aveshagarwal/kubernetes;test/images/serve_hostname/Dockerfile
bluebreezecf/kubernetes;vendor/golang.org/x/net/http2/Dockerfile
caesarxuchao/kubernetes;test/images/resource-consumer/Dockerfile
MikeSpreitzer/kubernetes;cluster/addons/dns/skydns/Dockerfile
goern/CentOS-Dockerfiles;Django/centos7/Dockerfile
upmc-enterprises/contrib;keepalived-vip/build/Dockerfile
zhiwei55/docker-training;first/php-fpm/Dockerfile
grengojbo/docker-tarmaker;lsyncd/tarmaker/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/numpy/distutils/setup.pyc
zhouxiaoxiaoxujian/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
William-Yeh/ansible-workshop;multiple-hosts/roles/williamyeh.nodejs/test/Dockerfile-ubuntu12.04
resin-io-library/base-images;node/beaglebone/debian/6.8/Dockerfile
resin-io-library/base-images;python/apalis-imx6/alpine/2.7/Dockerfile
resin-io-library/base-images;node/vab820-quad/debian/6.7/slim/Dockerfile
asreds/docker-web-development;php/Dockerfile
CodeLoversAt/docker-hhvm-mongo;Dockerfile
TNO-IoT/ekster-integration-test;prosody/Dockerfile
rydnr/set-square-phusion-images;java8/Dockerfile.template
sayanchowdhury/Fedora-Dockerfiles;firefox/Dockerfile
yvess/docker-alpine-elasticsearch;Dockerfile
ajayhn/openstack-controller-docker;docker-files/nova-docker/Dockerfile
carlohamalainen/imagetrove-base-image;Dockerfile
docker-in-practice/docker-compose-echo;server/Dockerfile
xfun68/gocd;common/test-resources/integration/hg-material/Dockerfile
ypid/docker;builder/parser/testfiles/znc/Dockerfile
docker/swarm;test/integration/testdata/build/Dockerfile
kdani3/searx;Dockerfile
moomou/heron;docker/Dockerfile.ubuntu14.04
mc2014/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
burmanm/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/continueIndent/Dockerfile
jojimt/contrib;ansible/roles/opencontrail/templates/Dockerfile.redhat.j2
mdshuai/origin;images/dockerregistry/Dockerfile
phemmer/docker;integration-cli/build_tests/TestCopy/DirContentToExistDir/Dockerfile
vmx/perfrunner;docker/Dockerfile
Codegyre/RoboCI;recipes/php/Dockerfile
raharsha/docker;contrib/builder/rpm/fedora-22/Dockerfile
royalharsh/grpc;templates/tools/dockerfile/test/cxx_ubuntu1604_x64/Dockerfile.template
sg00dwin/origin;test/extended/testdata/gssapi/ubuntu/kerberos/Dockerfile
yosifkit/docker;vendor/src/github.com/docker/distribution/Dockerfile
KimTaehee/docker;contrib/syntax/kate/Dockerfile.xml
jreeme/firmament;docker/data-container/Dockerfile
kolyshkin/docker;contrib/desktop-integration/gparted/Dockerfile
marun/kubernetes;cluster/mesos/docker/socat/Dockerfile
PawarPawan/h2o-v3;docker/Dockerfile
jasdel/aws-sdk-go;awstesting/sandbox/Dockerfile.test.go1.5
jonahzheng/docker;contrib/builder/rpm/fedora-21/Dockerfile
loodse/kubernetes;build/build-image/cross/Dockerfile
mikedanese/docker;docs/examples/apt-cacher-ng.Dockerfile
rocker-org/rocker;rstudio/Dockerfile
zefciu/kubernetes;build/build-image/Dockerfile
chengjinlee/docker;builder/parser/testfiles/json/Dockerfile
deads2k/kubernetes;test/images/hostexec/Dockerfile
ethernetdan/spread;images/gitlabci/Dockerfile
jpeeler/kubernetes;examples/meteor/dockerbase/Dockerfile
jwhonce/kubernetes;test/images/fakegitserver/Dockerfile
krousey/kubernetes;test/images/entrypoint-tester/Dockerfile
SteadyAi/kubernetes;examples/kubectl-container/Dockerfile
azukiapp/docker-node;4/Dockerfile
bsantanna/containers;xubuntu-desktop/Dockerfile
DongyiYang/kubernetes;test/soak/cauldron/Dockerfile
dobbymoodge/kubernetes;examples/k8petstore/redis/Dockerfile
swarup-donepudi/docker;vendor/src/github.com/docker/distribution/Dockerfile
pokemonmegaman/platform;docker/0.5/Dockerfile
Prussia/pentaho-di-docker;Dockerfile
drone-plugins/drone-atlas;Dockerfile
johnsandiford/dockerfiles;mitmproxy/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/requests-2.4.0-py2.7.egg/requests/packages/chardet/langthaimodel.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/distribute-0.6.34-py2.7.egg/setuptools/tests/test_bdist_egg.py
clkao/docker-postgres-plv8;9.4-1.5/Dockerfile
resin-io-library/base-images;openjdk/raspberrypi3/debian/7-jre/Dockerfile
resin-io-library/base-images;golang/odroid-ux3/alpine/1.5/slim/Dockerfile
jkandasa/hawkular-java-client;docker/Dockerfile
wurstmeister/zookeeper-docker;Dockerfile
sherzberg/docker-sandmanctl-mysql;Dockerfile
marklee77/docker-baseimage-ansible;Dockerfile
webdevops/TYPO3-docker-boilerplate;docker/mysql/MySQL-5.7.Dockerfile
arangodb-helper/build-docker-containers;distros/centos/7/run/Dockerfile
bajh/docker;contrib/builder/rpm/fedora-20/Dockerfile
jefby/docker;builder/dockerfile/parser/testfiles/mumble/Dockerfile
keyan/docker;builder/parser/testfiles-negative/env_no_value/Dockerfile
AmeBel/docker;indigo/ros-incog-blender/Dockerfile
anhzhi/docker;docs/examples/running_riak_service.Dockerfile
ideaar/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
DualSpark/kops;e2e/Dockerfile
mtanlee/docker;contrib/desktop-integration/chromium/Dockerfile
HackToday/kolla;docker/centos/binary/nova/nova-consoleauth/Dockerfile
sagemathinc/smc;src/k8s/haproxy/image/Dockerfile
stormltf/docker;builder/parser/testfiles/influxdb/Dockerfile
Altiscale/docker;builder/dockerfile/parser/testfiles/tf2/Dockerfile
Mashimiao/docker;Dockerfile.s390x
Pensu/kubernetes;examples/job/work-queue-2/Dockerfile
chenzhiwei/kolla;docker/neutron/neutron-base/Dockerfile.j2
koep/dockerfiles;checkup/Dockerfile
moxiegirl/docker;contrib/nnp-test/Dockerfile
walm/dockerfiles;nginx/Dockerfile
Sangaroonaom/atom;Dockerfile
jmhardison/docker;builder/parser/testfiles/json/Dockerfile
polybassa/STM_HAL;utilities/Dockerfile
ElementoLab/beacon;Dockerfile
a6802739/cockroach;build/deploy/Dockerfile
beechnut/dokku-alt;tests/apps/acl/Dockerfile
gasbriones/lotteri;wp-content/plugins/tiny-compress-images/config/Dockerfile-wordpress-35
jasonamyers/docker;builder/dockerfile/parser/testfiles/mumble/Dockerfile
moander/kubernetes;test/images/iperf/Dockerfile
rsmoorthy/docker-1;builder/dockerfile/parser/testfiles/docker/Dockerfile
hasufell/dockermail;opendkim/Dockerfile
kuma-san/kubernetes;examples/phabricator/php-phabricator/Dockerfile
markturansky/origin;examples/etcd/Dockerfile
TencentSA/docker-1.3;contrib/desktop-integration/gparted/Dockerfile
arashbina/kubernetes;test/images/network-tester/Dockerfile
gtsalles/dockerfiles;zsh/Dockerfile
michael-donat/docker;builder/parser/testfiles/multiple-volumes/Dockerfile
Austen-G/BlockBuilder;Dockerfile
tiborsimko/claimstore;Dockerfile
vasil-yordanov/docker;man/Dockerfile.ppc64le
wsilva/meetup-laravel;containers/proxy/Dockerfile
apiaryio/apiary-client;Dockerfile
fred-wang/chromium.src;blimp/engine/testing/Dockerfile
lovishdogra/kubernetes;examples/guestbook-go/_src/guestbook/Dockerfile
Kazimirkas/angular2tutor;Dockerfile
ilidiomartins/kubernetes;test/images/port-forward-tester/Dockerfile
jonDotsoy/docker-laravel;4.2/Dockerfile
lavab/onboarding-webhook;Dockerfile
