mehulsbhatt/docker-ovs;1.10.2/Dockerfile
joshm1/kubernetes;examples/redis/image/Dockerfile
shuhuai007/docker;contrib/desktop-integration/chromium/Dockerfile
svdata/kubernetes;examples/cassandra/image/Dockerfile
DOCXS/docker-spark;1.4/Dockerfile
bspline/kubernetes;docs/design/clustering/Dockerfile
ddysher/kubernetes;api/Dockerfile
juanvallejo/origin;examples/zookeeper/Dockerfile
mariussturm/docker;builder/dockerfile/parser/testfiles/env/Dockerfile
pietern/kubernetes;contrib/for-demos/test-webserver/Dockerfile
rehandalal/morgoth;Dockerfile
anujbahuguna/docker;vendor/src/golang.org/x/net/http2/Dockerfile
apeeyush/kubernetes;docs/user-guide/liveness/image/Dockerfile
jeffbean/kubernetes;contrib/for-tests/entrypoint-tester/Dockerfile
jgeiger/dockerfiles;consul/server/Dockerfile
jopecko/dockerfiles;mutt/Dockerfile
liuhewei/kubernetes;test/images/mount-tester-user/Dockerfile
mkumatag/kubernetes;examples/guestbook/redis-slave/Dockerfile
sidharthgoel/docker;builder/parser/testfiles/jeztah-invalid-json-single-quotes/Dockerfile
siemhermans/gtsperf;Container/Dockerfile
h2020-endeavour/iSDX;visualization/dockers/node/Dockerfile
ilackarms/kubernetes;examples/phabricator/php-phabricator/Dockerfile
JeffBellegarde/docker;contrib/builder/deb/ubuntu-wily/Dockerfile
discoposse/kubernetes;examples/https-nginx/Dockerfile
nexiahome/dockerfiles;grafana/Dockerfile
wingedkiwi/kubernetes;examples/k8petstore/web-server/Dockerfile
RobinsChens/kubernetes;test/images/n-way-http/Dockerfile
andrewsilva9/YoMEANApp;Dockerfile
matthewvalimaki/docker;vendor/src/github.com/docker/distribution/Dockerfile
nodesource/docker-node;centos/6/node/6.0.0/Dockerfile
psquickitjayant/docker;builder/parser/testfiles/weechat/Dockerfile
Acidburn0zzz/kubernetes;contrib/for-tests/network-tester/Dockerfile
Pobble/request_repeater;docker/Dockerfile
ideruga/haskell-vim-now;Dockerfile
toffer/docker-squid3-ssl;Dockerfile
miketheprogrammer/maestro;Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/apache_libcloud-0.15.1-py2.7.egg/libcloud/test/dns/__init__.pyc
DavidFalk/docker-duplicity;Dockerfile
resin-io-library/base-images;node/nitrogen6x/debian/0.10/Dockerfile
drone-plugins/drone-codedeploy;Dockerfile
projectatomic/atomic-enterprise;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
Kharatsa/SampleTransportTracking;Dockerfile
thewtex/MorphologicalContourInterpolation;test/Docker/Dockerfile
grpc/grpc;tools/dockerfile/test/fuzzer/Dockerfile
bajh/docker;builder/parser/testfiles/multiple-volumes/Dockerfile
ramr/origin;examples/pets/redis/init/Dockerfile
toby82/kolla;docker/openvswitch/openvswitch-db-server/Dockerfile.j2
AmeBel/docker;indigo/eva-opencog/Dockerfile
DDCCOE/docker;contrib/builder/deb/ubuntu-precise/Dockerfile
jlebon/docker;docs/examples/postgresql_service.Dockerfile
mathhun/stack;etc/docker/ubuntu-with-libgmp/Dockerfile
makdharma/grpc;tools/dockerfile/bazel/Dockerfile
rimolive/rhiot;dockerfiles/build/Dockerfile
riuvshin/swarm;test/integration/mesos/Dockerfile-0.22.1
j-mracek/docker;docs/examples/postgresql_service.Dockerfile
juliengk/docker;builder/dockerfile/parser/testfiles/json/Dockerfile
okffi/decisions;nginx/Dockerfile
skrater/porthos;Dockerfile
velias/keycloak;testsuite/integration-arquillian/tests/other/mod_auth_mellon/docker/Dockerfile
Q-Lee/kubernetes;examples/phabricator/php-phabricator/Dockerfile
brennj55/Sonrasc;sonrasc-language-processing/Dockerfile
carmark/hypercli;docs/Dockerfile
lioryanko/docker;builder/parser/testfiles/influxdb/Dockerfile
seveillac/origin;examples/etcd/Dockerfile
supermario/flynn;Godeps/_workspace/src/github.com/fsouza/go-dockerclient/testing/data/Dockerfile
jmhardison/docker;builder/parser/testfiles/mumble/Dockerfile
johanb99/LOLScrub;matchGetterRanked/Dockerfile
mkkie/ceph-docker;rbd-volume/Dockerfile
wsb310/TornadoWeb;docker/mysql/Dockerfile
bkeyoumarsi/docker;contrib/builder/rpm/centos-7/Dockerfile
diogomonica/docker;Dockerfile.simple
mqliang/kubernetes;test/images/mount-tester-user/Dockerfile
nvnvrts/kubernetes;examples/nfs/nfs-data/Dockerfile
alterway/docker-php;5.4-cli/Dockerfile
cleardevice/dockvpn;Dockerfile
desdrury/kubernetes;examples/explorer/Dockerfile
fgimenez/kubernetes;examples/celery-rabbitmq/flower/Dockerfile
giancosta86/MiniSum;docker/SumClient/Dockerfile
hferentschik/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/mumble/Dockerfile
neb0t/adop-ldap-ltb;Dockerfile
