mehulsbhatt/docker-ovs;1.10.2/Dockerfile
shakamunyi/fig;tests/fixtures/simple-dockerfile/Dockerfile
tengyifei/grpc;tools/dockerfile/grpc_clang/Dockerfile
zetaops/zcloud;containers/zato/zato-docker-lb-dev/Dockerfile
HackToday/kolla;docker/centos/source/neutron/neutron-agents/Dockerfile
mountkin/docker;builder/parser/testfiles/brimstone-docker-consul/Dockerfile
marun/kubernetes;test/images/entrypoint-tester/Dockerfile
softprops/docker;Dockerfile.simple
tradej/pacemaker;extra/ansible/docker/roles/docker-host/templates/Dockerfile.j2
almapp/almapp-api;Dockerfile
duglin/kubernetes;vendor/golang.org/x/net/http2/Dockerfile
ejemba/kubernetes;test/images/volumes-tester/ceph/Dockerfile
vlajos/kubernetes;Godeps/_workspace/src/github.com/fsouza/go-dockerclient/testing/data/Dockerfile
FollowMyDev/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
Ye-Yong-Chi/docker;man/Dockerfile.5.md
domenicbove/origin;images/builder/docker/custom-docker-builder/Dockerfile
eljrax/docker_demo;docker_files/app/Dockerfile
lixueclaire/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/influxdb/Dockerfile
soltysh/kubernetes;cluster/images/hyperkube/Dockerfile
srikumarks/go-ipfs;test/3nodetest/client/Dockerfile
tnachen/kubernetes;examples/kubectl-container/Dockerfile
MiCHiLU/docker-dart;Dockerfile
SvenDowideit/leeroy;Dockerfile.build
flynn-archive/taffy;Dockerfile
institutotim/timtec;Dockerfile
kuma-san/kubernetes;cluster/addons/kube-ui/image/Dockerfile
rawlingsj/gofabric8;vendor/github.com/openshift/origin/examples/pets/zookeeper/init/Dockerfile
samxzxy/centos-sshd;Dockerfile
IanSaunders/marathon;Dockerfile
gradywang/kubernetes;cluster/mesos/docker/test/Dockerfile
jwhonce/distribution;contrib/docker-integration/tokenserver-oauth/Dockerfile
lukaszraczylo/docker;builder/parser/testfiles/mail/Dockerfile
qnib/docker-postgres;Dockerfile
tkuhn/nanopub-server;Dockerfile
scottkiss/dockerfiles;inkscape/Dockerfile
masakazuwatanabe/consul;0.6/centos/7/consul-server/Dockerfile
learnweb/docker-opencast;Dockerfiles/admin/assets/etc/org.opencastproject.organization-mh_default_org.cfg
SvenDowideit/distribution;Dockerfile
cameronbrunner/kubernetes;examples/k8petstore/redis-master/Dockerfile
devops-israel/dockerfiles;docker-base/Dockerfile
gurvindersingh/kubernetes;cluster/addons/fluentd-elasticsearch/es-image/Dockerfile
gurvindersingh/kubernetes;examples/cluster-dns/images/backend/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/khmer-1.1-py2.7-linux-x86_64.egg/khmer/tests/test-data/real-partition-tiny.fa
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Bio/AlignIO/NexusIO.py
rainforest1155/bennedetto;Dockerfile
spoutnik16/dockerize-lamp;site/Dockerfile
OvertimeDog/kubernetes-1.2;examples/phabricator/php-phabricator/Dockerfile
pgbovine/OnlinePythonTutor;v4-cokapi/backends/ruby/Dockerfile
publiclab/spectral-workbench;Dockerfile
jaylinski/docker-dev-phpstorm;node6/Dockerfile
helloannali/Fedora-Dockerfiles;container-best-practices/Dockerfile
danehans/docker-nova-controller;Dockerfile.example
base2Services/ciinabox-containers;jenkins/2/Dockerfile
jdeoliveira/mule-cf-java-buildpack;ci/docker-image/Dockerfile
awesomesourcecode/MoviesBackendServer;Dockerfile
stjohnjohnson/smartthings-mqtt-bridge;Dockerfile-rpi
thoschu/de.schulte360.docker.buildfiles;de.schulte360.docker.nodejs-dummy/Dockerfile
SivagnanamCiena/Zabbix-Docker-Monitoring;dockerfiles/zabbix2.4_centos6/Dockerfile
yang-g/grpc;tools/dockerfile/distribtest/ruby_opensuse_x64/Dockerfile
clhudson2/os;Godeps/_workspace/src/github.com/rancher/docker-from-scratch/base-image/Dockerfile
LeKovr/consup;Dockerfiles/pdns/LICENSE
cswank/quimby;vendor/github.com/cswank/gogadgets/Dockerfile
ideaar/docker;contrib/builder/rpm/oraclelinux-6/Dockerfile
thetrav/kolla;docker/rhel-osp-base/Dockerfile
vbehar/origin;Godeps/_workspace/src/k8s.io/kubernetes/examples/celery-rabbitmq/celery-app-add/Dockerfile
aidanhs/docker;docs/examples/running_ssh_service.Dockerfile
dorman/onebody;Dockerfile
fabioy/contrib;404-server/Dockerfile
kpayson64/grpc;tools/dockerfile/test/cxx_jessie_x64/Dockerfile
ndeloof/docker;builder/dockerfile/parser/testfiles/mail/Dockerfile
resouer/docker;Dockerfile.simple
sallyom/docker;builder/dockerfile/parser/testfiles/multiple-volumes/Dockerfile
sinnlabs/dbvim;.codenvy/runners/environments/ENV1-dbvim/Dockerfile
balajibr/docker;builder/parser/testfiles/env/Dockerfile
fosstp/platform;docker/2.1/Dockerfile
gambol99/docker;contrib/nnp-test/Dockerfile
gklyne/annalist;src/docker/annalist/Dockerfile
ken-saka/docker;builder/parser/testfiles/docker/Dockerfile
rhuss/gofabric8;vendor/github.com/docker/docker/builder/parser/testfiles/escapes/Dockerfile
torarnv/go-ipfs;test/3nodetest/server/Dockerfile
webratio/docker;groovy/2.3.11/Dockerfile
SMRxT/kubernetes;contrib/for-tests/network-tester/Dockerfile
mvdan/kubernetes;examples/https-nginx/Dockerfile
paulpoco/lcdproc;Dockerfile
harshdattani/atom;Dockerfile
mkkie/ceph-docker;ceph-releases/jewel/ubuntu/14.04/demo/Dockerfile
nickschuch/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string/Dockerfile
ponsfrilus/docker;builder/parser/testfiles-negative/env_no_value/Dockerfile
vmware/kubernetes;cluster/images/etcd-empty-dir-cleanup/Dockerfile
Drnutsu/kubernetes;cluster/mesos/docker/test/Dockerfile
ZhuPeng/kubernetes;test/images/volumes-tester/rbd/Dockerfile
daniel-j-born/grpc;tools/dockerfile/distribtest/ruby_fedora20_x64/Dockerfile
dcrisan/kubernetes;test/images/network-tester/Dockerfile
doragon/Dockerfile;ubuntu/14.04/apache2/Dockerfile
hemslo/dockerfiles;railsapp/Dockerfile
jay754/dockerfiles;termboy/Dockerfile
maxamillion/docker;builder/dockerfile/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
merwok/dockerfiles;httpie/Dockerfile
pierreg/tensorflow;tensorflow/tools/ci_build/Dockerfile.debian.jessie.cpu
IsaacYangSLA/DIGITS;packaging/deb/Dockerfile
baoyangc/kubernetes;examples/k8petstore/web-server/Dockerfile
crawford/kubernetes;examples/spark/images/master/Dockerfile
xiaojingchen/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
xiaojingchen/docker;builder/parser/testfiles/mumble/Dockerfile
apache/qpid-dispatch;dockerfiles/Dockerfile-fedora
frobware/dockerfiles;go-bootstrap/Dockerfile
igraph/python-igraph;docker/jupyter/Dockerfile
rockzeng/docker-java;src/test/resources/testBuildFromPrivateRegistry/Dockerfile
infoslack/dockerfiles;visualstudio/Dockerfile
kazegusuri/kubernetes;examples/explorer/Dockerfile
thevtm/decolar-alarme;Dockerfile
agonzalezro/kubernetes;contrib/for-tests/volumes-tester/ceph/Dockerfile
calebamiles/kubernetes;test/images/volumes-tester/nfs/Dockerfile
davidwilliamson/notary;Godeps/_workspace/src/golang.org/x/net/http2/Dockerfile
junjun16818/kubernetes;examples/spark/images/base/Dockerfile
nodesource/docker-node;fedora/24/node/6.5.0/Dockerfile
rajatchopra/kubernetes;examples/meteor/dockerbase/Dockerfile
thrasher-redhat/origin;test/testdata/app-scenarios/docker-compose/complex/app/Dockerfile
yangxiangyu/kubernetes;examples/guestbook/redis-slave/Dockerfile
duncanfinney/kubernetes;contrib/for-tests/porter/Dockerfile
himanshu0503/kubernetes;cluster/addons/dns/skydns/Dockerfile
thedigitalgarage/origin;images/release/Dockerfile
NikoWoot/dev-dockerstack;dockers/ghostblog/Dockerfile
bojan12345/MeanJS-saloni;Dockerfile
guildencrantz/kubernetes;test/images/jessie-dnsutils/Dockerfile
mnorbury/docker-notebook;scipyserver/Dockerfile
moul/advanced-ssh-config;vendor/github.com/docker/docker/man/Dockerfile.armhf
radum/webapp-boilerplate;Dockerfile-development
devopscenter/docker-stack;loadbalancer/ssl-termination/Dockerfile
johnshiver/johnshiver.org;web/Dockerfile
ovaskevich/simplefiledrop;Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/spatial/kdtree.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/statsmodels-0.5.0-py2.7-linux-x86_64.egg/statsmodels/distributions/empirical_distribution.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/apache_libcloud-0.15.1-py2.7.egg/libcloud/test/loadbalancer/fixtures/rackspace/v1_slug_loadbalancers_protocols.json
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/MetaSV-0.5-py2.7.egg/metasv/breakseq_reader.py
isotopsweden/docker-farmer;vendor/github.com/docker/docker/builder/dockerfile/parser/testfiles/env/Dockerfile
pedro-r-marques/kubernetes;test/images/volumes-tester/nfs/Dockerfile
trinitronx/docker-build-tools;docker-platforms/centos-6/Dockerfile
jasonbrooks/Fedora-Dockerfiles;kea/Dockerfile
sapcc/concourse-swift-resource;Dockerfile
dongjoon-hyun/docker-reef-tests;ubuntu12.04-jdk8-mesos0.28/Dockerfile
gmanfunky/docker-bench-security;distros/Dockerfile.debian
cloudfoundry-incubator/lattice-ci;Dockerfile
scaleway-community/scaleway-drupal;Dockerfile
thomasvandoren/docker-maven-plugin;samples/data-jolokia-demo/src/main/docker/demo/Dockerfile
democracyworks/voter-registration-works;Dockerfile
jamiemcconnell/internet-connectivity-checker;Dockerfile
sonrac/tt;docker/fpm/Dockerfile
ahedberg/grpc;tools/dockerfile/grpc_interop_go/Dockerfile
awanke/docker;contrib/builder/rpm/oraclelinux-6/Dockerfile
cyphar/docker;vendor/src/github.com/docker/notary/Dockerfile
eihero/docker;contrib/host-integration/Dockerfile.min
osrg/ryu-book;docker/Dockerfile
sheimi/docker;contrib/syntax/kate/Dockerfile.xml
chlunde/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/continueIndent/Dockerfile
dgquintas/grpc;templates/tools/dockerfile/interoptest/grpc_interop_php/Dockerfile.template
angryxlt/docker;Dockerfile.s390x
clnperez/docker;Dockerfile.armhf
easyfmxu/NodeBB;Dockerfile
harryi3t/u12jav;Dockerfile
rata/kubernetes;test/images/netexec/Dockerfile
sg00dwin/origin;images/release/golang-1.7/Dockerfile
HackToday/docker;vendor/src/golang.org/x/net/http2/Dockerfile
bogdandrutu/grpc;tools/dockerfile/distribtest/python_fedora20_x64/Dockerfile
kyle-wang/docker;contrib/builder/rpm/fedora-23/Dockerfile
sl4shme/pplloopp;images/shaddock/mistral/Dockerfile
topojoy/deepdive;Dockerfile
vincer/terraform;vendor/github.com/fsouza/go-dockerclient/testing/data/Dockerfile
hongrunhui/nongye;Dockerfile
kerneltime/docker;builder/dockerfile/parser/testfiles/brimstone-docker-consul/Dockerfile
ponsfrilus/docker;contrib/desktop-integration/chromium/Dockerfile
rafael/kubernetes;third_party/src/github.com/fsouza/go-dockerclient/testing/data/Dockerfile
springning/docker;docs/examples/postgresql_service.Dockerfile
vincentwoo/docker;contrib/syntax/textmate/Docker.tmbundle/Preferences/Dockerfile.tmPreferences
zjmchn/kubernetes;cluster/images/nginx/Dockerfile
jay-lau/kubernetes;cluster/addons/dns/skydns/Dockerfile
lifeeth/docker-arm;integration-cli/build_tests/TestAdd/WholeDirToRoot/Dockerfile
mpuncel/kubernetes;docs/user-guide/horizontal-pod-autoscaling/image/Dockerfile
resouer/kubernetes;cluster/images/etcd-empty-dir-cleanup/Dockerfile
romeomaryns/ripple;account-service/src/main/docker/Dockerfile
zealic/dockerfiles;bitcoind/Dockerfile
zlzlnet/kubernetes;docs/user-guide/environment-guide/containers/backend/Dockerfile
QNimbus/docker-base;Dockerfile
amygdala/kubernetes;cluster/addons/registry/images/Dockerfile
asubiotto/cockroach;build/Dockerfile
cjellick/kubernetes;examples/guestbook/redis-slave/Dockerfile
coolsvap/kubernetes;build/debian-iptables/Dockerfile
dumplingtech/devenv;ansible/bootstrap/base/Dockerfile
geocine/pinoycubers;docker/volumes/application/Dockerfile
liubin/distribution;contrib/compose/nginx/Dockerfile
mbohlool/kubernetes;test/images/volumes-tester/nfs/Dockerfile
micahhausler/docker;builder/parser/testfiles/continueIndent/Dockerfile
tbronchain/docker-1;docs/examples/running_riak_service.Dockerfile
akshayknarayan/quilt;specs/redis/Dockerfile
bartslinger/paparazzi;docker/dep/Dockerfile
commonlisp/kubernetes;test/images/network-tester/Dockerfile
dacjames/docker-spark;base/Dockerfile
errordeveloper/docker;Dockerfile.ppc64le
christopherobin/docker;contrib/desktop-integration/gparted/Dockerfile
cw1/docker-curl-dyndns;Dockerfile
davidpelaez/kubernetes;build/build-image/Dockerfile
laikacultural/spaceport;containers/graphviz/Dockerfile
robertabbott/kubernetes;examples/cassandra/image/Dockerfile
sclorg/rhscl-dockerfiles;rhel7.ruby200/Dockerfile
sclorg/rhscl-dockerfiles;centos7.s2i-base/Dockerfile
stephenliang/dockerfiles;mesos-master/Dockerfile
johnsandiford/dockerfiles;awscli/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/MetaSV-0.5-py2.7.egg/metasv/extract_pairs.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/weave/blitz/blitz/limits-hack.h
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/io/setup.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/saga_python-0.18-py2.7.egg/saga/constants.pyc
mwallasch/docker-ruby-node;Dockerfile
docker-maint/debian-systemd;Dockerfile
khanhicetea/php7-fpm-docker;Dockerfile
pombredanne/useragentparser;Dockerfile
servicebroker/servicebroker;brokers/node/Dockerfile
resin-io-library/base-images;golang/raspberrypi/debian/1.4/wheezy/Dockerfile
resin-io-library/base-images;node/nitrogen6x/alpine/default/edge/Dockerfile
kmi-dockerfiles/docker-sesame;Dockerfile
myrubapa/gitlab-ci-runner-centos;Dockerfile
kwk/docker;docs/Dockerfile
cycps/addie;Dockerfile
kevinkmp/ace;demo/kitchen-sink/docs/Dockerfile
sreecha/grpc;tools/dockerfile/interoptest/grpc_interop_php7/Dockerfile
tsuna/docker;builder/parser/testfiles-negative/shykes-nested-json/Dockerfile
wzzrd/docker;contrib/desktop-integration/gparted/Dockerfile
bru7us/docker;man/Dockerfile.5.md
mc2014/docker;contrib/syntax/kate/Dockerfile.xml
CodyGuo/docker;contrib/host-integration/Dockerfile.min
azurezk/docker;builder/parser/testfiles/brimstone-docker-consul/Dockerfile
labkode/docker;builder/parser/testfiles-negative/shykes-nested-json/Dockerfile
spohnan/origin;images/base/Dockerfile
CrazyJvm/docker;contrib/desktop-integration/chromium/Dockerfile
Immortalin/gogs;Dockerfile
Morsicus/docker;contrib/desktop-integration/gparted/Dockerfile
bboreham/docker;docs/sources/examples/postgresql_service.Dockerfile
bortels/rubydev;Dockerfile
fgimenez/docker;contrib/builder/rpm/amd64/opensuse-13.2/Dockerfile
SpAiNiOr/mystudy;deploy/Dockerfile
anish/kubernetes;docs/design/clustering/Dockerfile
leifurhauks/grpc;tools/dockerfile/distribtest/ruby_ubuntu1604_x64/Dockerfile
snailwalker/docs;Dockerfile
YannMoisan/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/tf2/Dockerfile
beni55/kubernetes;test/images/mount-tester/Dockerfile
earl-jann/mimoods;Dockerfile
lewislyou/contrib;keepalived-vip/vendor/golang.org/x/net/http2/Dockerfile
runseb/kubernetes;examples/celery-rabbitmq/flower/Dockerfile
shrids/kubernetes;docs/user-guide/environment-guide/containers/backend/Dockerfile
virajs/kubernetes;cluster/images/hyperkube/Dockerfile
burdara/kubernetes;cluster/mesos/docker/km/Dockerfile
erulabs/kubernetes;examples/nfs/exporter/Dockerfile
jwuwork/kubernetes;build/pause/Dockerfile
openwhisk/openwhisk;core/swiftAction/Dockerfile
arashbina/kubernetes;examples/meteor/dockerbase/Dockerfile
davinashreddy/docker;contrib/builder/rpm/amd64/fedora-23/Dockerfile
hairyhenderson/f1foo;Dockerfile
hzy001/docker-gitlab;Dockerfile
rocknrollMarc/docker;contrib/builder/rpm/fedora-21/Dockerfile
thoughtarray/testapp;Dockerfile
MrArnoldPalmer/docker;vendor/src/github.com/docker/libcontainer/Dockerfile
firecat53/dockerfiles;omd/Dockerfile
juju4/ansible-scumblr;test/travis/Dockerfile.alpine-3.4
vikstrous/dockerfiles;gcalcli/Dockerfile
Huawei-PaaS/kubernetes;cluster/mesos/docker/km/Dockerfile
abevoelker/docker-ruby;rubies/jruby-1.5.4/Dockerfile
astropuffin/kubernetes;cluster/addons/fluentd-elasticsearch/kibana-image/Dockerfile
aungzy/dockerfile-java;ubuntu/oracle-jdk8/Dockerfile
juanvallejo/kubernetes;test/images/fakegitserver/Dockerfile
nodesource/docker-node;ubuntu/trusty/iojs/1.6.2/Dockerfile
qingyuancloud/qingyuan;contrib/prometheus/Dockerfile
sergeyevstifeev/docker;builder/parser/testfiles-negative/env_no_value/Dockerfile
waltermoreira/serfnode;builder/template/{{cookiecutter.node_name}}/build/Dockerfile
xiongjungit/kubernetes;cluster/images/hyperkube/Dockerfile
DirectXMan12/kubernetes;examples/meteor/dockerbase/Dockerfile
TrimBiggs/calico-docker;calicoctl/Dockerfile
ronaldoscotti/Volunteer;Dockerfile
Fiware/ops.Fuel-main-dev;docker/nailgun/Dockerfile
HeartSaVioR/storm-docker;storm/Dockerfile
andreas-schroeder/toguru;Dockerfile.Postgres
gpmidi/docker-bacula-dir;Dockerfile
timstott/graylog2-images;docker-beta/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/spatial/tests/data/pdist-seuclidean-ml.txt
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/SQLAlchemy-0.9.7-py2.7-linux-x86_64.egg/sqlalchemy/ext/declarative/api.py
shahbaz17/marketplace-env;docker/base-images/mysql/Dockerfile
SparkPost/csharp-sparkpost;docker/Dockerfile
adrianchia/openshift-ghost;node_modules/ghost/node_modules/jsonpath/Dockerfile
dsebastien/midnightLightV2;Dockerfile
thanhson1085/dockerize-app;Dockerfile
vpavlin/Fedora-Dockerfiles;redis/Dockerfile
BeepBoopHQ/node-slack-hubot;Dockerfile
richardstechnotes/rtnDocker;rtndfcore/Dockerfile
resin-io-library/base-images;openjdk/colibri-imx6/debian/7-jre/Dockerfile
mid0111/dockerfile-personium.io;Dockerfile
smarthealth2/stratos-vagrant-box;openstack-docker/Dockerfile_tomcat
resin-io-projects/multi-container;Dockerfile
ricardobaumann/rest_backend_compose;ranking/Dockerfile
bryce-gibson/docker-selenium-hub-phantomjs;Dockerfile
bur/mean;Dockerfile
orih/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
texit/texit;Dockerfile
tirgil/eden;Dockerfile
zaps/machine;Dockerfile
eparis/docker;builder/parser/testfiles/jeztah-invalid-json-json-inside-string-double/Dockerfile
hhorak/atomic;tests/test-images/Dockerfile.2
mtrmac/docker;contrib/builder/rpm/amd64/oraclelinux-7/Dockerfile
piosz/contrib;ansible/roles/kubernetes-addons/files/common/python-image/Dockerfile
tanapoln/gogs;Dockerfile.rpi
haugene/docker;builder/dockerfile/parser/testfiles/weechat/Dockerfile
jfrazelle/bane;Dockerfile
sleewoo/appril;gem/docker/Dockerfile
surdy/dcos-cli;cli/binary/Dockerfile.linux-binary
goldenbull/grpc;templates/tools/dockerfile/test/python_jessie_x64/Dockerfile.template
kfmaster/gerrit;Dockerfile
yukunyi/dockers;deluge/Dockerfile
cgwalters/docker;docs/sources/examples/apt-cacher-ng.Dockerfile
mvdan/kubernetes;examples/mysql-galera/image/Dockerfile
vpavlin/nulecule;examples/wordpress-centos7-atomicapp/Dockerfile
Xe/hideyhole-site;Dockerfile
arneluehrs/docker;contrib/builder/deb/debian-stretch/Dockerfile
brchiu/tensorflow;tensorflow/tools/dist_test/server/Dockerfile.test
murgatroid99/grpc;tools/dockerfile/distribtest/ruby_centos7_x64/Dockerfile
pugna0/kubernetes;hack/gen-swagger-doc/Dockerfile
skoblenick/docker;builder/parser/testfiles/znc/Dockerfile
tmc/parse_graphql;Godeps/_workspace/src/github.com/tmc/parse/Dockerfile
copejon/kubernetes;test/images/jessie-dnsutils/Dockerfile
damajor/dockerimgs;wso2mb/Dockerfile
ivan4th/kubernetes;test/images/port-forward-tester/Dockerfile
justyntemme/docker;docs/examples/apt-cacher-ng.Dockerfile
BenTheElder/contrib;exec-healthz/Dockerfile
Clarifai/kubernetes;examples/cassandra/image/Dockerfile
jimthematrix/fabric;vendor/golang.org/x/net/http2/Dockerfile
marcust/docker-java;src/test/resources/testEnv/Dockerfile
n42corp/dockerfiles;korean-morpheme/Dockerfile
olleolleolle/docker;Dockerfile.simple
scollier/kubernetes;examples/redis/image/Dockerfile
smerrill/kubernetes;examples/spark/images/worker/Dockerfile
Brechard/practica5.2;node_modules/sequelize/Dockerfile
Geodan/Earthwatchers;Dockerfile
Halo9Pan/docker-cuda;scikit/Dockerfile
andreptb/Dockerfiles;activemq/Dockerfile
deserted/letsencrypt;letsencrypt-compatibility-test/letsencrypt_compatibility_test/configurators/apache/Dockerfile
dyoung418/tensorflow;tensorflow/tools/ci_build/Dockerfile.android
jonboulle/docker2aci;tests/test-whiteouts/Dockerfile
mssola/zypper-docker;vendor/github.com/docker/docker/vendor/src/github.com/docker/notary/Dockerfile
thomasleveil/kontena;agent/Dockerfile.alpine
wonderfly/kubernetes;docs/user-guide/update-demo/images/kitten/Dockerfile
Krijger/docker-gradle;src/test/gradle-projects/proxy-with-stub-server/stubserver/Dockerfile
bmpvieira/Dockerfiles;codonphyml/Dockerfile
cr0hn/vulnerable-node;Dockerfile
darkovac/ng2-dk-start;Dockerfile
nathanleclaire/docker;contrib/desktop-integration/gparted/Dockerfile
nlamirault/kubernetes;test/images/goproxy/Dockerfile
coolhacks/docker-hacks;dockerfiles/mailman/Dockerfile
osu-sig/ansible-master;Dockerfile
spartonia/django-oscar;Dockerfile
aveshagarwal/kubernetes;test/soak/cauldron/Dockerfile
crashr42/docker_hosting;test/dummy/config/hosting/Dockerfile
guihatano/docker-images;nginx-ubuntu/mainline/Dockerfile
laikacultural/spaceport;containers/zookeeper/Dockerfile
mhrivnak/pulp_packaging;dockerfiles/centos/crane-allinone/Dockerfile
Alidron/python-openzwave;python-openzwave:master/Dockerfile
educoutinho/MarkdownTest;References/stackedit-master/Dockerfile
pascalgrimaud/dockerfiles;jhipster/cassandra/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/simplejson/__init__.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/spatial/setupscons.py
choffmeister/docker-jekyll;Dockerfile
prasmussen/glot-containers;kotlin/latest/Dockerfile
nginxinc/nginx-amplify-agent;docker/ubuntu1404/Dockerfile
krzysiek-szporer/docker-projects;logstash/Dockerfile
JoelPM/docker-baseimage-nodejs-runtime;Dockerfile
BitcoinFullnode/ROKOS-OK-Bitcoin-Fullnode;clients-nodes/rokos-Pi2-Pi3/horizon/Dockerfile
keithsjohnson/spring-cloud-polyglot-persistence-example;api-gateway-microservice/src/main/docker/Dockerfile
tiw/docker;docs/Dockerfile
cyli/docker;builder/dockerfile/parser/testfiles/brimstone-consuldock/Dockerfile
cyli/docker;contrib/builder/deb/amd64/ubuntu-xenial/Dockerfile
beatle/docker;contrib/desktop-integration/gparted/Dockerfile
flxel/sabnzbd;Dockerfile
rkazak/docker;contrib/builder/deb/amd64/debian-wheezy/Dockerfile
sadegh/docker;builder/parser/testfiles/lk4d4-the-edge-case-generator/Dockerfile
xiaods/docker;contrib/builder/deb/amd64/ubuntu-xenial/Dockerfile
qnib/alpn-hdfs;Dockerfile
angryxlt/docker;contrib/builder/rpm/fedora-22/Dockerfile
atlassian/swarm;test/integration/mesos/Dockerfile-0.25.0
fairyeye/docker;builder/parser/testfiles/brimstone-consuldock/Dockerfile
ktcd/kubernetes;examples/k8petstore/redis-slave/Dockerfile
squaremo/docker;contrib/desktop-integration/gparted/Dockerfile
bogdandrutu/grpc;tools/dockerfile/distribtest/python_fedora23_x64/Dockerfile
f-andrey/sprutio;Dockerfile
kvasdopil/docker;builder/parser/testfiles/nginx/Dockerfile
sreejithr/docker;builder/dockerfile/parser/testfiles/weechat/Dockerfile
velo/dockerfiles;zsh/Dockerfile
TrumanLing/docker;Dockerfile.s390x
dinhxuanvu/docker;builder/parser/testfiles/docker/Dockerfile
gnudeep/app-cloud;modules/resources/dockerfiles/msf4j/url/Dockerfile.msf4j.1.0.0
sidharta-s/docker;contrib/builder/rpm/fedora-21/Dockerfile
ZhuPeng/kubernetes;hack/jenkins/test-image/Dockerfile
bfallik/kubernetes;examples/kubectl-container/Dockerfile
cc272309126/docker;contrib/syntax/textmate/Docker.tmbundle/Syntaxes/Dockerfile.tmLanguage
dgonyeo/kubernetes;examples/k8petstore/redis/Dockerfile
ka2er/docker-files;imapfilter/Dockerfile
pugnascotia/docker;contrib/desktop-integration/gparted/Dockerfile
thuongdinh/rancher;Dockerfile
zhaoshengbo/docker;contrib/desktop-integration/gparted/Dockerfile
cgvarela/kubernetes;docs/design/clustering/Dockerfile
flx42/nvidia-docker;samples/centos/deviceQuery/Dockerfile
geocine/pinoycubers;Dockerfile
javapapo/kubernetes;examples/meteor/dockerbase/Dockerfile
josegonzalez/docker;docs/articles/https/Dockerfile
rothgar/dockerfiles;debootstrap/Dockerfile
skippbox/kubernetes;examples/k8petstore/redis-slave/Dockerfile
cheyang/docker_brick;spec/unit/brick/models/dockerfile/Dockerfile
jorgeacf/dockerfiles;bigdata/spark/Dockerfile
LuminateWireless/grpc;tools/dockerfile/grpc_interop_java/Dockerfile
juju-solutions/bigtop;bigtop-bigpetstore/bigpetstore-transaction-queue/Dockerfile
mlitvin/pythia_docker;Dockerfile
openfun/configuration;docker/build/elasticsearch/xDockerfile
bywan/go-dockercommand;Dockerfile_test
juanvallejo/kubernetes;test/images/volumes-tester/nfs/Dockerfile
lovishdogra/kubernetes;contrib/for-tests/volumes-tester/nfs/Dockerfile
uruddarraju/kubernetes;examples/guestbook/redis-slave/Dockerfile
weldpua2008/docker-php;wordpress/5.3/Dockerfile
rethore/docker_openmdao;standalone/Dockerfile
GOGOsu/shadowsocks-libev;docker/Dockerfile
TencentSA/kubernetes-1.2;test/images/mount-tester/Dockerfile
zhangyancoder/kubernetes;examples/cluster-dns/images/frontend/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Cython/Compiler/Errors.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/config/tests/__init__.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/numpy/f2py/func2subr.pyc
