CodeNow/swarm;test/integration/Dockerfile
awanke/docker;builder/parser/testfiles/ADD-COPY-with-JSON/Dockerfile
bezi/autotest;app/Dockerfile
jlebon/docker;docs/examples/running_ssh_service.Dockerfile
justinsb/kops;vendor/k8s.io/kubernetes/hack/gen-swagger-doc/Dockerfile
onfsdn/faucet;Dockerfile
sean-/patroni;Dockerfile
sheimi/docker;Dockerfile.gccgo
whuwxl/docker;builder/dockerfile/parser/testfiles/znc/Dockerfile
ConZ27/dnsdock;Dockerfile
eXcomm/meshbox;docker/Dockerfile
tya/kubernetes;examples/https-nginx/Dockerfile
wangcy6/docker;builder/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
HackToday/kolla;docker/centos/source/designate/designate-mdns/Dockerfile
samsabed/docker;docs/articles/https/Dockerfile
alena1108/docker;builder/parser/testfiles/mumble/Dockerfile
mvdan/kubernetes;test/images/jessie-dnsutils/Dockerfile
ndarilek/meteord;binbuild/Dockerfile
pgmcd/kubernetes;docs/user-guide/update-demo/images/kitten/Dockerfile
bleuchtang/docker;contrib/builder/deb/ubuntu-debootstrap-trusty/Dockerfile
eplanet/MuseScore;build/Linux+BSD/portable/ARM/jessie-crosscompile-armhf.Dockerfile
fguillot/kanboard;Dockerfile
